Order_Quantity,Holding_Cost,Ordering_Cost,Total_Inventory_Cost,Annual_Demand,Daily_Demand,Daily_Std_Dev,Base_Unit_Price,Default_Lead_Time
10,4.530000000000001,3585.0,6837.540000000001,717,1.9643835616438357,2.1508437250513563,4.53,7
20,9.060000000000002,1792.5,5049.57,717,1.9643835616438357,2.1508437250513563,4.53,7
30,13.590000000000002,1195.0,4456.6,717,1.9643835616438357,2.1508437250513563,4.53,7
40,18.120000000000005,896.25,4162.38,717,1.9643835616438357,2.1508437250513563,4.53,7
50,22.650000000000002,717.0,3987.6600000000003,717,1.9643835616438357,2.1508437250513563,4.53,7
60,27.180000000000003,597.5,3872.69,717,1.9643835616438357,2.1508437250513563,4.53,7
70,31.710000000000004,512.1428571428571,3791.862857142857,717,1.9643835616438357,2.1508437250513563,4.53,7
80,36.24000000000001,448.125,3732.375,717,1.9643835616438357,2.1508437250513563,4.53,7
90,40.77,398.3333333333333,3687.1133333333337,717,1.9643835616438357,2.1508437250513563,4.53,7
100,45.300000000000004,358.5,3651.8100000000004,717,1.9643835616438357,2.1508437250513563,4.53,7
110,49.830000000000005,325.90909090909093,3623.749090909091,717,1.9643835616438357,2.1508437250513563,4.53,7
120,54.36000000000001,298.75,3601.1200000000003,717,1.9643835616438357,2.1508437250513563,4.53,7
130,58.89000000000001,275.7692307692308,3582.669230769231,717,1.9643835616438357,2.1508437250513563,4.53,7
140,63.42000000000001,256.07142857142856,3567.5014285714287,717,1.9643835616438357,2.1508437250513563,4.53,7
150,67.95000000000002,239.0,3554.96,717,1.9643835616438357,2.1508437250513563,4.53,7
160,72.48000000000002,224.0625,3544.5525000000002,717,1.9643835616438357,2.1508437250513563,4.53,7
170,77.01,210.88235294117646,3535.9023529411766,717,1.9643835616438357,2.1508437250513563,4.53,7
180,81.54,199.16666666666666,3528.7166666666667,717,1.9643835616438357,2.1508437250513563,4.53,7
190,86.07000000000001,188.68421052631578,3522.7642105263158,717,1.9643835616438357,2.1508437250513563,4.53,7
200,90.60000000000001,179.25,3517.86,717,1.9643835616438357,2.1508437250513563,4.53,7
210,95.13000000000001,170.7142857142857,3513.854285714286,717,1.9643835616438357,2.1508437250513563,4.53,7
220,99.66000000000001,162.95454545454547,3510.6245454545456,717,1.9643835616438357,2.1508437250513563,4.53,7
230,104.19000000000001,155.8695652173913,3508.0695652173918,717,1.9643835616438357,2.1508437250513563,4.53,7
240,108.72000000000001,149.375,3506.1050000000005,717,1.9643835616438357,2.1508437250513563,4.53,7
250,113.25000000000001,143.4,3504.6600000000003,717,1.9643835616438357,2.1508437250513563,4.53,7
260,117.78000000000002,137.8846153846154,3503.6746153846157,717,1.9643835616438357,2.1508437250513563,4.53,7
270,122.31000000000002,132.77777777777777,3503.097777777778,717,1.9643835616438357,2.1508437250513563,4.53,7
280,126.84000000000002,128.03571428571428,3502.8857142857146,717,1.9643835616438357,2.1508437250513563,4.53,7
290,131.37000000000003,123.62068965517241,3503.0006896551727,717,1.9643835616438357,2.1508437250513563,4.53,7
300,135.90000000000003,119.5,3503.4100000000003,717,1.9643835616438357,2.1508437250513563,4.53,7
310,140.43000000000004,115.64516129032259,3504.085161290323,717,1.9643835616438357,2.1508437250513563,4.53,7
320,144.96000000000004,112.03125,3505.0012500000003,717,1.9643835616438357,2.1508437250513563,4.53,7
330,149.49,108.63636363636364,3506.136363636364,717,1.9643835616438357,2.1508437250513563,4.53,7
340,154.02,105.44117647058823,3507.4711764705885,717,1.9643835616438357,2.1508437250513563,4.53,7
350,158.55,102.42857142857143,3508.9885714285715,717,1.9643835616438357,2.1508437250513563,4.53,7
360,163.08,99.58333333333333,3510.6733333333336,717,1.9643835616438357,2.1508437250513563,4.53,7
370,167.61,96.89189189189189,3512.511891891892,717,1.9643835616438357,2.1508437250513563,4.53,7
380,172.14000000000001,94.34210526315789,3514.492105263158,717,1.9643835616438357,2.1508437250513563,4.53,7
390,176.67000000000002,91.92307692307692,3516.603076923077,717,1.9643835616438357,2.1508437250513563,4.53,7
